Income,Essentials,Lifestyle,Loan,TotalExpenses,Savings,Overspending
9183,4143,3440,187,7770,1413,1
10849,5742,3075,730,9547,1302,1
5403,2190,1001,720,3911,1492,0
8871,3653,1888,1121,6662,2209,0
14022,6565,2605,4059,13229,793,1
10908,4576,3527,2531,10634,274,1
14145,8731,3198,3468,15397,-1252,1
14862,9945,5718,3534,19197,-4335,1
7864,5229,1536,625,7390,474,1
14208,8269,1533,641,10443,3765,0
12192,5567,3198,3569,12334,-142,1
4979,2308,1676,1027,5011,-32,1
10242,6146,3809,2774,12729,-2487,1
8397,4413,3139,1610,9162,-765,1
6718,4088,1683,619,6390,328,1
9113,6251,1820,1789,9860,-747,1
6821,4293,2461,1257,8011,-1190,1
13860,7186,3998,1011,12195,1665,1
7717,5058,2690,1160,8908,-1191,1
8245,3841,1624,2154,7619,626,1
7520,5104,1827,2007,8938,-1418,1
4104,2525,1045,972,4542,-438,1
5247,2157,868,188,3213,2034,0
9823,4173,3066,1562,8801,1022,1
5770,3424,1621,1383,6428,-658,1
6499,2799,1500,165,4464,2035,0
7707,5056,945,2196,8197,-490,1
5151,2648,1154,404,4206,945,1
9050,6029,1696,2426,10151,-1101,1
5364,2237,1315,228,3780,1584,0
8592,4624,2212,99,6935,1657,1
5360,2886,1242,1602,5730,-370,1
13898,9187,2378,2536,14101,-203,1
10671,5700,2056,3100,10856,-185,1
8460,3836,2736,457,7029,1431,1
12737,7395,4944,1993,14332,-1595,1
11886,7910,3549,1457,12916,-1030,1
6447,3068,1382,674,5124,1323,0
9190,6059,2423,1157,9639,-449,1
13314,8761,2075,1892,12728,586,1
12203,7465,3731,643,11839,364,1
11370,7020,4483,2205,13708,-2338,1
12224,8505,3111,1884,13500,-1276,1
12958,8332,2426,1721,12479,479,1
13796,7518,3889,179,11586,2210,1
9089,6263,2917,2445,11625,-2536,1
7537,4867,2528,3,7398,139,1
12166,5526,2262,795,8583,3583,0
11858,5767,3738,2637,12142,-284,1
9466,4205,1338,1369,6912,2554,0
7756,3123,2761,2185,8069,-313,1
13526,9329,2109,654,12092,1434,1
10162,4145,2688,2380,9213,949,1
13418,6829,5243,1548,13620,-202,1
10803,5868,2598,2952,11418,-615,1
14948,7727,2320,3258,13305,1643,1
8915,3905,1308,2011,7224,1691,1
11797,8084,2369,2797,13250,-1453,1
13208,8178,4657,519,13354,-146,1
14894,6960,5042,2111,14113,781,1
4526,2855,1759,269,4883,-357,1
11061,4663,3977,1465,10105,956,1
8548,5270,1943,717,7930,618,1
6007,3495,1226,1077,5798,209,1
13679,6410,3675,4072,14157,-478,1
5110,2225,1640,1286,5151,-41,1
9127,3812,1686,493,5991,3136,0
6449,2660,2500,1926,7086,-637,1
12286,7625,3852,375,11852,434,1
8444,4134,2326,1173,7633,811,1
9805,5748,2149,1305,9202,603,1
12829,5799,2715,2380,10894,1935,1
8438,4260,2759,902,7921,517,1
11880,6142,1731,2792,10665,1215,1
5295,3019,1541,1236,5796,-501,1
11413,5970,1777,1231,8978,2435,0
10904,5300,2025,1486,8811,2093,1
8797,6072,2218,2189,10479,-1682,1
4291,1892,1651,938,4481,-190,1
14650,6867,3689,2888,13444,1206,1
7044,3294,2063,120,5477,1567,0
5080,2427,1998,1357,5782,-702,1
4373,1870,1588,969,4427,-54,1
7090,3285,1940,241,5466,1624,0
9312,5333,1111,1732,8176,1136,1
10979,4403,1553,1408,7364,3615,0
8348,5505,1993,2351,9849,-1501,1
8811,4243,3090,1675,9008,-197,1
14784,9060,3816,2205,15081,-297,1
11814,6670,2697,774,10141,1673,1
7313,3257,2140,2189,7586,-273,1
9743,5102,3214,2392,10708,-965,1
11238,5265,2514,875,8654,2584,0
5658,3026,1884,556,5466,192,1
14318,5894,3549,1062,10505,3813,0
14944,6821,2012,2159,10992,3952,0
4343,1900,1204,902,4006,337,1
11667,6382,4277,1298,11957,-290,1
12143,5165,3644,1546,10355,1788,1
6160,3196,1716,454,5366,794,1
9929,6285,3329,1646,11260,-1331,1
5165,3215,1637,1017,5869,-704,1
9905,4086,2161,2697,8944,961,1
11629,8038,3545,1331,12914,-1285,1
7732,5319,2888,910,9117,-1385,1
10471,7185,1278,1115,9578,893,1
12934,5592,1475,579,7646,5288,0
11459,7046,2639,2317,12002,-543,1
12506,5344,4913,3197,13454,-948,1
6684,3000,963,484,4447,2237,0
8224,4994,2516,1037,8547,-323,1
5968,3580,781,1089,5450,518,1
6305,3200,2091,1469,6760,-455,1
13263,7111,3915,3477,14503,-1240,1
14813,6502,3131,102,9735,5078,0
5539,2763,1266,1161,5190,349,1
7898,3496,2234,1746,7476,422,1
8326,3795,2502,568,6865,1461,1
8469,5432,1878,1365,8675,-206,1
9010,3884,3198,2687,9769,-759,1
4343,2431,1126,663,4220,123,1
8768,5278,3500,2203,10981,-2213,1
10258,4443,2359,1593,8395,1863,1
5786,4031,2298,646,6975,-1189,1
5626,2479,1953,1017,5449,177,1
14592,9020,4783,3636,17439,-2847,1
8689,4109,1877,1093,7079,1610,1
13042,6708,3982,2989,13679,-637,1
14199,8303,1642,2291,12236,1963,1
14318,9405,4494,4071,17970,-3652,1
8902,4602,1186,1541,7329,1573,1
14284,7082,3902,3068,14052,232,1
11306,5231,2530,2504,10265,1041,1
11116,5825,1546,1034,8405,2711,0
7025,3989,1620,1555,7164,-139,1
12763,8465,4048,1746,14259,-1496,1
11871,7530,1485,2927,11942,-71,1
4383,2770,742,582,4094,289,1
14550,8983,4870,4165,18018,-3468,1
10126,7045,1902,1735,10682,-556,1
8619,5125,1981,603,7709,910,1
5432,2625,683,1534,4842,590,1
11203,7425,1978,230,9633,1570,1
7166,4074,2801,1447,8322,-1156,1
12177,4889,4726,2913,12528,-351,1
14000,8764,2591,226,11581,2419,1
4168,2355,742,1187,4284,-116,1
10524,6897,3202,389,10488,36,1
4170,1875,1612,902,4389,-219,1
7413,3834,2639,1827,8300,-887,1
14230,9769,2694,1730,14193,37,1
7975,5353,2249,443,8045,-70,1
8459,4315,1286,1443,7044,1415,1
13130,7648,5095,3818,16561,-3431,1
14049,8179,4761,1156,14096,-47,1
7962,4841,2443,2064,9348,-1386,1
11557,5568,2701,3325,11594,-37,1
8255,4757,2584,2330,9671,-1416,1
4004,2316,1043,1173,4532,-528,1
12479,7527,2763,692,10982,1497,1
5966,3689,741,558,4988,978,1
4326,2932,1629,836,5397,-1071,1
11333,7078,2155,2600,11833,-500,1
4871,2898,1380,875,5153,-282,1
10728,4786,3873,407,9066,1662,1
5005,3078,1343,992,5413,-408,1
9846,5977,3052,1355,10384,-538,1
6876,3046,762,1298,5106,1770,0
12875,6060,1908,2306,10274,2601,0
9974,4949,2908,1809,9666,308,1
7165,4260,1903,641,6804,361,1
13749,8128,2532,1589,12249,1500,1
11649,6262,2698,2833,11793,-144,1
12974,9057,2679,752,12488,486,1
5563,3267,2159,135,5561,2,1
9749,4879,3090,21,7990,1759,1
12287,5903,4264,1408,11575,712,1
10224,4251,1427,1350,7028,3196,0
4386,2015,1638,404,4057,329,1
10478,5576,3134,2141,10851,-373,1
14640,8615,3409,212,12236,2404,1
6915,4106,892,1669,6667,248,1
14618,10116,2815,1301,14232,386,1
13135,5518,2647,2613,10778,2357,1
11007,6294,1721,2203,10218,789,1
8363,3819,1549,2440,7808,555,1
10915,5557,1513,2837,9907,1008,1
10756,4368,2796,240,7404,3352,0
12342,6718,2025,2847,11590,752,1
7611,3875,1871,1497,7243,368,1
4912,2201,1746,441,4388,524,1
9895,5019,2298,2025,9342,553,1
9498,5679,1036,23,6738,2760,0
11443,7887,2354,2266,12507,-1064,1
10160,5356,3239,2908,11503,-1343,1
5706,2976,1890,9,4875,831,1
11022,7539,1862,3191,12592,-1570,1
5994,2718,1544,396,4658,1336,0
7551,4380,1816,1140,7336,215,1
11727,5910,3156,1697,10763,964,1
12138,7687,3121,3156,13964,-1826,1
14381,8927,2688,2281,13896,485,1
4100,1711,880,3,2594,1506,0
13570,6342,3506,382,10230,3340,0
9906,6350,3216,2326,11892,-1986,1
14398,7298,1956,1289,10543,3855,0
13353,9234,3068,3590,15892,-2539,1
10907,5639,4174,1910,11723,-816,1
7181,3916,2731,1445,8092,-911,1
13489,5857,2739,1295,9891,3598,0
8029,4084,1049,2112,7245,784,1
12585,8315,1909,562,10786,1799,1
4693,2497,1828,616,4941,-248,1
7844,4367,1102,1950,7419,425,1
6711,2771,1812,440,5023,1688,0
13712,6826,2396,871,10093,3619,0
6536,4496,1987,84,6567,-31,1
4030,1979,494,462,2935,1095,0
9858,5390,2572,948,8910,948,1
13602,8197,1747,3991,13935,-333,1
13488,7847,5183,3625,16655,-3167,1
14885,7476,2349,513,10338,4547,0
10916,7482,1536,726,9744,1172,1
7708,4877,2797,559,8233,-525,1
8677,5615,1329,2118,9062,-385,1
6071,3564,1389,504,5457,614,1
7889,3575,1815,2286,7676,213,1
6868,4405,731,1176,6312,556,1
14374,6594,5288,240,12122,2252,1
14000,9526,1904,3941,15371,-1371,1
12536,6068,3113,2744,11925,611,1
13233,5716,4471,1626,11813,1420,1
8116,3917,2892,1872,8681,-565,1
5586,3286,856,1467,5609,-23,1
5676,3426,1680,213,5319,357,1
8089,4210,2482,1861,8553,-464,1
8317,4025,2545,1433,8003,314,1
9138,6049,2828,284,9161,-23,1
5126,3218,1234,362,4814,312,1
10599,4864,3153,1076,9093,1506,1
11954,6399,4057,2071,12527,-573,1
5669,2928,2213,1245,6386,-717,1
8697,4618,3157,1711,9486,-789,1
12253,5754,3796,166,9716,2537,0
11206,6173,2660,2418,11251,-45,1
13703,7922,5357,1475,14754,-1051,1
11862,8228,1908,508,10644,1218,1
8976,5142,3207,1663,10012,-1036,1
11565,6223,2511,1350,10084,1481,1
8332,3578,1188,1630,6396,1936,0
12878,8264,4058,947,13269,-391,1
10280,4152,3791,1977,9920,360,1
9630,4042,3351,845,8238,1392,1
11326,4689,1898,2225,8812,2514,0
14567,8025,3781,2782,14588,-21,1
13929,5896,2267,630,8793,5136,0
13481,8253,4824,3710,16787,-3306,1
14511,7936,4541,548,13025,1486,1
6787,3290,1811,1245,6346,441,1
5629,2729,1754,667,5150,479,1
11045,5243,3515,2857,11615,-570,1
14795,9861,1721,689,12271,2524,1
